timestamp,dx,dy,dz,droll,dpitch,dyaw
1.720639343841586590e+09,3.382722361856140836e-01,-6.574294457752161321e-03,8.016848634973419360e-03,1.112625143469775889e-03,-1.669045397474588910e-03,1.873889551270216869e-03
1.720639344242179155e+09,3.111123473768688252e-01,2.388049192171926537e-03,7.975135221138417857e-03,1.041795451623931052e-03,2.090109859097522005e-03,-4.206029267546573455e-03
1.720639344642700195e+09,3.345115017160162352e-01,6.333643874537334822e-03,2.250522334267565910e-03,-1.151894007624139045e-03,4.599100443100745395e-03,1.539812659035967720e-03
1.720639345042952538e+09,3.379083684851568181e-01,9.083986894817755453e-02,2.390008858792254942e-01,-1.606190369728556977e-03,9.790696551589928021e-03,2.559057467114075283e-03
1.720639345442193747e+09,3.903040956345872892e-01,1.143924585573446008e-03,7.796854729621111556e-03,-1.838105308126633400e-03,-1.769613029101613222e-03,1.086511328270924515e-04
1.720639345842427969e+09,3.875729653266876129e-01,3.585381246188036868e-03,5.492540205144323152e-03,7.181199020951388500e-04,-2.525307293544720721e-03,7.397965370020952733e-04
1.720639346242459059e+09,3.869737336489703083e-01,-3.391263049686937228e-04,6.404475690781434409e-03,6.208569240194783704e-04,-6.642312926103954851e-04,-4.279054329304637395e-04
1.720639346642678499e+09,3.932301064312581085e-01,2.064880505877700681e-03,1.579058739782969630e-03,-1.636402306382798814e-03,-3.357135852935844156e-03,5.761121963464826273e-04
1.720639347042311430e+09,3.812460662821269275e-01,5.318647377024164082e-05,6.852867701006988034e-03,2.343980837810231196e-03,1.053235413011055499e-04,3.682779445032585610e-04
1.720639347442352057e+09,3.777066657183910658e-01,4.634654958463101625e-03,1.328228142909401201e-03,1.222435581924501873e-03,3.704091755032390409e-04,-4.577136728603411206e-05
1.720639347842370033e+09,3.930897815361232839e-01,3.468362195651849764e-03,4.982738259132460726e-03,2.208123596741590807e-03,-1.190927609007852439e-03,-5.662721975303805499e-04
1.720639348242483139e+09,3.805523916224827219e-01,3.460765017490827124e-03,3.705872458193066633e-03,-6.607829196987515669e-04,-6.596621530392088317e-03,-1.886665361965239292e-03
