timestamp,dx,dy,dz,droll,dpitch,dyaw
1.720639339642021179e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.720639343841586590e+09,3.382722361856140836e-01,-6.574294457752161321e-03,8.016848634973419360e-03,1.112625143469775889e-03,-1.669045397474588910e-03,1.873889551270216869e-03
1.720639344242179155e+09,6.494013897872522589e-01,-4.760944839013877931e-03,1.547069283602830331e-02,2.158333214268740897e-03,4.191094963927888273e-04,-2.333881984646566862e-03
1.720639344642700195e+09,9.838962259040229252e-01,2.358534824072605531e-03,1.784604467364542257e-02,9.957061856728933579e-04,5.015508748873243050e-03,-7.945797043704325418e-04
1.720639345042952538e+09,1.320529353021890229e+00,9.370648380046357750e-02,2.584475007759089449e-01,-6.183629557597027310e-04,1.480491943125650245e-02,1.756344984497074536e-03
1.720639345442193747e+09,1.710676654298380894e+00,9.415650444479393977e-02,2.720220123456090766e-01,-2.459727120302519776e-03,1.303851237918918216e-02,1.837735610935835187e-03
1.720639345842427969e+09,2.098150997326925005e+00,9.700367596870247688e-02,2.825744299652381275e-01,-1.746212140162010928e-03,1.051188631760435754e-02,2.586840479204617800e-03
1.720639346242459059e+09,2.485033857132600499e+00,9.564522858070564904e-02,2.930439217878944014e-01,-1.127045676883680963e-03,9.846049176675197856e-03,2.165443609763209511e-03
1.720639346642678499e+09,2.878232904945185577e+00,9.685244331268634543e-02,2.984960033915722288e-01,-2.770739246353077622e-03,6.492451427108747453e-03,2.725381373755473863e-03
1.720639347042311430e+09,3.259425173619035387e+00,9.584074853280420692e-02,3.078211552444936050e-01,-4.264291539815971460e-04,6.591368509245132401e-03,3.108872043235010995e-03
1.720639347442352057e+09,3.637127462611813744e+00,9.929951292724080447e-02,3.116404985346088452e-01,7.971816097683493080e-04,6.957970571777272184e-03,3.071163771574637533e-03
1.720639347842370033e+09,4.030181857181863059e+00,1.015667693081448858e-01,3.193564574945290668e-01,3.001672264017773723e-03,5.760250179472681253e-03,2.520224945513651910e-03
1.720639348242483139e+09,4.410714101958845390e+00,1.040861390434307532e-01,3.252468408352863216e-01,2.324280748180867703e-03,-8.346864031831824349e-04,6.297118331446353422e-04
1.720639348642249823e+09,4.800286577718830827e+00,1.086710332840404858e-01,3.328916143349754386e-01,3.984060285058749380e-03,1.556001488703273594e-03,2.108179275351081301e-03
1.720639349042487860e+09,5.178580400863746824e+00,1.051139865732535345e-01,3.413013550381524541e-01,4.455018041712651387e-03,3.058514952542390475e-03,6.073984315962917876e-04
1.720639349442763805e+09,5.567983895767175007e+00,1.066150960144863907e-01,3.466387816056426541e-01,4.227345939389622054e-03,-8.268086688421050212e-04,7.464673083970456468e-04
1.720639349843160152e+09,5.952911516643610845e+00,1.103936365625008686e-01,3.505755836627778010e-01,4.588799036302742239e-03,-4.957684236511772369e-03,-3.910983216338030752e-04
1.720639350242774725e+09,6.333218812403060838e+00,1.142013973144596350e-01,3.539082685433759257e-01,3.337464178607888517e-03,-4.559394871042066200e-03,-2.516726094478639267e-03
1.720639350643025398e+09,6.717267616564367216e+00,1.234967493233305180e-01,3.528670264300522996e-01,5.134543434648691264e-03,-3.607153022497699979e-03,-1.537058735652941993e-03
1.720639351042710304e+09,7.104174216805279940e+00,1.229959138225686643e-01,3.609432158915607536e-01,2.641346859349021775e-03,-3.775761219653173129e-03,-2.663947921370991932e-03
1.720639351442954779e+09,7.483861598077830024e+00,1.267111872693044428e-01,3.619769149264677743e-01,1.841300476748484148e-03,-8.312275436839433596e-03,-2.476893905653128856e-03
1.720639351842851877e+09,7.869141803950717495e+00,1.304778501667802348e-01,3.704670601726538504e-01,9.695781643448836418e-03,-1.338971410107303583e-03,-3.543366659761147675e-03
1.720639352242992163e+09,8.253327087494678693e+00,1.344012696657503059e-01,3.662949317652925418e-01,6.173124261736898967e-03,-1.467777665203895410e-03,-5.181785893493979708e-03
1.720639352642879725e+09,8.633449905660075530e+00,1.454169356630216625e-01,3.722452157508377990e-01,1.593682609830288435e-02,-4.384805708578243255e-03,-3.410571010591421665e-03
1.720639353043206215e+09,9.007180012369298439e+00,1.418339427648961371e-01,3.779096614118646613e-01,1.534432440032547536e-02,-9.282298277220935034e-03,-6.957168891985714143e-03
1.720639353442549944e+09,9.393007336988596023e+00,1.526483959698249904e-01,3.800670177968684671e-01,8.158535157606970623e-03,-4.595348301493329402e-03,-1.152539304199250852e-02
1.720639353843384743e+09,9.772810366821834904e+00,1.578379025653009471e-01,3.872198486713866461e-01,1.144075451063395615e-02,7.080493046217606334e-03,-1.104592445601936847e-02
1.720639354242956638e+09,1.014656916309638923e+01,1.679919713707433704e-01,3.971370759837709596e-01,3.985470720209169718e-03,6.797429346375283288e-03,-1.423445443094827241e-02
1.720639354643107891e+09,1.053403453117945965e+01,1.690509573601088888e-01,4.032327913735031522e-01,2.832356782433237408e-03,3.134017265688848752e-03,-1.369863325459728769e-02
1.720639355042688847e+09,1.091667171698406413e+01,1.811086721343399264e-01,4.007205739736003913e-01,2.961731727935211674e-03,-1.306679932362886376e-03,-1.393763910783891655e-02
1.720639355442987680e+09,1.129859452687686527e+01,1.878742895110202260e-01,4.108444618621361899e-01,6.901545080494520153e-03,-5.026550568891785531e-04,-1.564108526501944638e-02
1.720639355842835665e+09,1.167973932196712994e+01,1.978343315840914718e-01,4.147656973682192216e-01,2.883247820143098206e-03,-5.785090578256379956e-04,-1.805443251230008650e-02
1.720639356243060112e+09,1.206368350907677467e+01,2.050738990998662858e-01,4.210112521799652674e-01,5.425097384837838932e-03,1.426156288535818106e-03,-1.707480284860189018e-02
1.720639356642810822e+09,1.244511493503673805e+01,2.127249411809495339e-01,4.282586135061334787e-01,6.375743535970555820e-03,2.113996359098813116e-04,-1.996277614656500818e-02
1.720639357043280840e+09,1.282740496620364112e+01,2.211665627055714733e-01,4.333621300575938862e-01,4.245583117447530690e-03,8.605112449269203267e-04,-2.188543453826768612e-02
1.720639357442792654e+09,1.321198515920225702e+01,2.325040474020383385e-01,4.339528700854695664e-01,3.707785620485751221e-03,4.475695140933266813e-03,-2.303543355905424833e-02
1.720639357842803478e+09,1.359077126609746244e+01,2.370369272718559073e-01,4.447845999495203539e-01,3.301844479488028668e-03,2.476478305623697196e-03,-2.528604831872817427e-02
1.720639358242781162e+09,1.397627472734198051e+01,2.522739376144624845e-01,4.464811218115200542e-01,5.367441632585550487e-03,-5.838822049761827060e-04,-2.570923142105600856e-02
1.720639358643136501e+09,1.435992453254782575e+01,2.638652801530123604e-01,4.526373508783559929e-01,3.815883904879662468e-03,-2.588816418879202885e-03,-2.782836930217198745e-02
1.720639359042945862e+09,1.473959279746450157e+01,2.787266367212120066e-01,4.569761878727246485e-01,5.296676497752811352e-03,-3.352532995551715800e-03,-2.916511844586427288e-02
1.720639359443157911e+09,1.511941211050762668e+01,2.927444127303929222e-01,4.624972587467380269e-01,6.161210311136333141e-03,-3.567559353349292195e-03,-3.151580213802749469e-02
1.720639359842771292e+09,1.551249620039313193e+01,3.111627142057541984e-01,4.632554909458442283e-01,4.429650381560767611e-03,-2.615265810785638578e-03,-3.209155783895870778e-02
1.720639360242903948e+09,1.589237071184419214e+01,3.302905376096669787e-01,4.678357338669387189e-01,8.034424459903604862e-03,-3.297845513746677781e-03,-2.634251066667139124e-02
1.720639360642651558e+09,1.628787543643283797e+01,3.433864654908647673e-01,4.651782374507437701e-01,5.822653140481548820e-03,-7.959975144734565689e-03,-8.791923555466044787e-03
